Make,Model,Variant, Ex-Showroom_Price ,Emission_Norm,Fuel_Type,Body_Type,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,Kerb_Weight,Ground_Clearance,Front_Suspension,Rear_Suspension,Power,Torque,Basic_Warranty,Child_Safety_Locks,Extended_Warranty,Minimum_Turning_Radius,Voice_Recognition,ABS_(Anti-lock_Braking_System),Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Parking_Assistance,USB_Compatibility,EBA_(Electronic_Brake_Assist),Navigation_System,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Cruise_Control
Tata,Nano Genx,Xt," Rs. 2,92,667 ",BS IV,Petrol,Hatchback,?23.6 km/litre,,23.6 km/litre,660 kg,180 mm,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",38PS@5500rpm,51Nm@4000rpm,2 years /75000 Kms (years/distance whichever comes first),Yes,2 years /150000 Kms (years/distance whichever comes first),4 meter,,,,,,,,,,,,,,,,
Tata,Nano Genx,Xe," Rs. 2,36,447 ",BS IV,Petrol,Hatchback,?23.6 km/litre,,23.6 km/litre,725 kg,180 mm,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",38PS@5500rpm,51Nm@4000rpm,2 years /75000 Kms (years/distance whichever comes first),Yes,2 years /150000 Kms (years/distance whichever comes first),4 meter,,,,,,,,,,,,,,,,
Tata,Nano Genx,Emax Xm," Rs. 2,96,661 ",BS IV,CNG,Hatchback,,,,710 kg,180 mm,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",38PS@5500rpm,51Nm@4000rpm,2 years /75000 Kms (years/distance whichever comes first),Yes,2 years /150000 Kms (years/distance whichever comes first),4 meter,,,,,,,,,,,,,,,,
Tata,Nano Genx,Xta," Rs. 3,34,768 ",BS IV,Petrol,Hatchback,?23.6 km/litre,,21.9 km/litre,725 kg,180 mm,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",38PS@5500rpm,51Nm@4000rpm,2 years /75000 Kms (years/distance whichever comes first),Yes,2 years /150000 Kms (years/distance whichever comes first),4 meter,,,,,,,,,,,,,,,,
Tata,Nano Genx,Xm," Rs. 2,72,223 ",BS IV,Petrol,Hatchback,?23.6 km/litre,,23.6 km/litre,725 kg,180 mm,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",38PS@5500rpm,51Nm@4000rpm,2 years /75000 Kms (years/distance whichever comes first),Yes,2 years /150000 Kms (years/distance whichever comes first),4 meter,,,,,,,,,,,,,,,,
Tata,Nano Genx,Xma," Rs. 3,14,815 ",BS IV,Petrol,Hatchback,?23.6 km/litre,,21.9 km/litre,710 kg,180 mm,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",38PS@5500rpm,51Nm@4000rpm,2 years /75000 Kms (years/distance whichever comes first),Yes,2 years /150000 Kms (years/distance whichever comes first),4 meter,,,,Yes,,,,,,,,,,,,
Datsun,Redi-Go,D," Rs. 2,79,650 ",BS IV,Petrol,Hatchback,21.38 km/litre,24 km/litre,25.17 km/litre,,185 mm,Double Pivot Arm,H-type Torsion Beam,54PS@5678rpm,72Nm@4386rpm,2 years / Unlimited Kms,Yes,2 Years/Unlimited Kms (Whichever comes earlier),4.7 meter,,Yes,,,,,,,,,,,,,,
Datsun,Redi-Go,T," Rs. 3,51,832 ",BS IV,Petrol,Hatchback,21.38 km/litre,24 km/litre,25.17 km/litre,,185 mm,Double Pivot Arm,H-type Torsion Beam,54PS@5678rpm,72Nm@4386rpm,2 years / Unlimited Kms,Yes,2 Years/Unlimited Kms (Whichever comes earlier),4.7 meter,,,,,,,,,,Yes,,,,,,
Datsun,Redi-Go,A," Rs. 3,33,419 ",BS IV,Petrol,Hatchback,21.38 km/litre,24 km/litre,25.17 km/litre,,185 mm,Double Pivot Arm,H-type Torsion Beam,54PS@5678rpm,72Nm@4386rpm,2 years / Unlimited Kms,Yes,2 Years/Unlimited Kms (Whichever comes earlier),4.7 meter,,,,,,,,,,,,,,,,
Datsun,Redi-Go,S," Rs. 3,62,000 ",BS IV,Petrol,Hatchback,21.38 km/litre,24 km/litre,25.17 km/litre,,185 mm,Double Pivot Arm,H-type Torsion Beam,54PS@5678rpm,72Nm@4386rpm,2 years / Unlimited Kms,Yes,2 Years/Unlimited Kms (Whichever comes earlier),4.7 meter,,,,,,,,,Rear sensors,,,,,,,
Datsun,Redi-Go,1.0 S," Rs. 3,90,000 ",BS IV,Petrol,Hatchback,,,22.5 km/litre,,185 mm,Double Pivot Arm,H-type Torsion Beam,68PS@5500rpm,91Nm@4250RPM,2 years / Unlimited Kms,Yes,2 Years/Unlimited Kms (Whichever comes earlier),4.7 meter,,,,,,,,,,,,,,,,
Datsun,Redi-Go,1.0 S Amt," Rs. 4,37,065 ",BS IV,Petrol,Hatchback,,,23 km/litre,,185 mm,Double Pivot Arm,H-type Torsion Beam,68PS@5500rpm,91Nm@4250RPM,2 years / Unlimited Kms,Yes,2 Years/Unlimited Kms (Whichever comes earlier),4.7 meter,,,,,,,,,Rear sensors,Yes,,,,,,
Renault,Kwid,Rxe 0.8," Rs. 3,53,290 ",BS 6,Petrol,Hatchback,25.17 km/litre,,25.17 km/litre,669 kg,184 mm,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,54PS@5678rpm,72Nm@4386rpm,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,,,,Yes,Driver frontal airbag,Yes,Yes,Yes,1,,,,,,,,,
Renault,Kwid,Std 0.8," Rs. 2,83,290 ",BS 6,Petrol,Hatchback,25.17 km/litre,,25.17 km/litre,669 kg,184 mm,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,54PS@5678rpm,72Nm@4386rpm,"2 Years / 50,000 Kms (Whichever comes earlier)",,,,,Yes,Driver frontal airbag,,Yes,Yes,1,,,,,,,,,
Renault,Kwid,Rxl 0.8," Rs. 3,83,290 ",BS 6,Petrol,Hatchback,25.17 km/litre,,25.17 km/litre,669 kg,184 mm,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,54PS@5678rpm,72Nm@4386rpm,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,,,,Yes,Driver frontal airbag,Yes,Yes,Yes,1,,,Yes,,,,,,
Renault,Kwid,Rxt 0.8," Rs. 4,13,290 ",BS 6,Petrol,Hatchback,25.17 km/litre,,25.17 km/litre,669 kg,184 mm,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,54PS@5678rpm,72Nm@4386rpm,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,,,,Yes,Driver frontal airbag,Yes,Yes,Yes,1,,,Yes,,Yes,,,,
Renault,Kwid,Rxt 1.0," Rs. 4,33,290 ",BS 6,Petrol,Hatchback,25.17 km/litre,,23.01 km/litre,669 kg,184 mm,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,68PS@5500rpm,91Nm@4250RPM,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,,,,Yes,Driver frontal airbag,Yes,Yes,Yes,1,,Rear sensors with camera,Yes,,,,,,
Renault,Kwid,Climber 1.0 Mt," Rs. 4,54,490 ",BS 6,Petrol,Hatchback,25.17 km/litre,,23.01 km/litre,669 kg,184 mm,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,68PS@5500rpm,91Nm@4250RPM,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,,,,Yes,Driver frontal airbag,Yes,Yes,Yes,1,,Rear sensors with camera,Yes,,,,,,
Renault,Kwid,Rxt Amt 1.0," Rs. 4,63,290 ",BS 6,Petrol,Hatchback,25.17 km/litre,,24.04 km/litre,669 kg,184 mm,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,68PS@5500rpm,91Nm@4250RPM,,Yes,,,,Yes,Driver frontal airbag,Yes,Yes,Yes,1,,Rear sensors with camera,Yes,,Yes,,,Yes,
Renault,Kwid,Climber Amt 1.0," Rs. 4,84,490 ",BS 6,Petrol,Hatchback,25.17 km/litre,,24.04 km/litre,669 kg,184 mm,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,68PS@5500rpm,91Nm@4250RPM,,Yes,,,,Yes,Driver frontal airbag,Yes,Yes,Yes,1,,Rear sensors with camera,Yes,,Yes,,,,
Renault,Kwid,Rxt (O) 1.0," Rs. 4,40,990 ",BS 6,Petrol,Hatchback,25.17 km/litre,,23.01 km/litre,669 kg,184 mm,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,68PS@5500rpm,91Nm@4250RPM,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2,,Rear sensors with camera,Yes,,,,,,
Renault,Kwid,Rxt (O) Amt 1.0," Rs. 4,70,990 ",BS 6,Petrol,Hatchback,25.17 km/litre,,23.01 km/litre,669 kg,184 mm,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,68PS@5500rpm,91Nm@4250RPM,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2,,Rear sensors with camera,Yes,,,,,,
Renault,Kwid,Climber (O) Mt 1.0," Rs. 4,62,190 ",BS 6,Petrol,Hatchback,25.17 km/litre,,23.01 km/litre,669 kg,184 mm,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,68PS@5500rpm,91Nm@4250RPM,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2,,Rear sensors with camera,Yes,,,,,,
Renault,Kwid,Climber (O) Amt 1.0," Rs. 4,92,190 ",BS 6,Petrol,Hatchback,25.17 km/litre,,24.04 km/litre,669 kg,184 mm,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,68PS@5500rpm,91Nm@4250RPM,,Yes,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2,,Rear sensors with camera,Yes,,Yes,,,,
Maruti Suzuki,Eeco,5 Str," Rs. 3,52,136 ",BS 6,Petrol,MPV,12 km/litre,15 km/litre,15 km/litre,920 kg,160 mm,McPherson struts,3 Link Rigid,73PS@6000rpm,101Nm@3000rpm,2 years /40000 Kms (years/distance whichever comes first),Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",4.5 meter,,Yes,Driver frontal airbag,,Yes,,1,9.9,Rear sensors,,,,,,,
Maruti Suzuki,Eeco,7 Str," Rs. 3,80,573 ",BS 6,Petrol,MPV,12 km/litre,15 km/litre,15 km/litre,940 kg,160 mm,McPherson struts,3 Link Rigid,74PS@6000RPM,101Nm@3000rpm,2 years /40000 Kms (years/distance whichever comes first),Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",4.5 meter,,Yes,Driver frontal airbag,,Yes,,1,9.9,Rear sensors,,,,,,,
Maruti Suzuki,Eeco,5 Str With Ac+Htr," Rs. 3,92,967 ",BS 6,Petrol,MPV,11 km/litre,15 km/litre,15 km/litre,928 kg,160 mm,McPherson struts,3 Link Rigid,73PS@6000rpm,101Nm@3000rpm,2 years /40000 Kms (years/distance whichever comes first),Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",4.5 meter,,,,,,,,9.9,,,,,,,,
Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng," Rs. 4,66,057 ",BS 6,CNG,MPV,,,,1050 kg,160 mm,McPherson Strut,3 Link Rigid,62PS@6000rpm,85Nm@3000rpm,2 years /40000 Kms (years/distance whichever comes first),Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",4.5 meter,,Yes,Driver frontal airbag,,Yes,,1,9.9,Rear sensors,,,,,,,
Maruti Suzuki,Eeco,5 Str With Htr Cng," Rs. 4,25,255 ",BS 6,CNG,MPV,,,,1030 kg,160 mm,McPherson struts,3 Link Rigid,62PS@6000rpm,85Nm@3000rpm,2 years /40000 Kms (years/distance whichever comes first),Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",4.5 meter,,Yes,Driver frontal airbag,,Yes,,1,9.9,Rear sensors,,,,,,,
Maruti Suzuki,Alto K10,Lxi," Rs. 3,77,588 ",BS IV,Petrol,Hatchback,14 km/litre,17 km/litre,24.07 km/litre,745 kg,160 mm,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,68PS@6000rpm,90Nm@3500rpm,2 years /40000 Kms (years/distance whichever comes first),Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",4.6 meter,,Yes,Driver frontal airbag,,Yes,,1,,,,,,,,,
Maruti Suzuki,Alto K10,Vxi," Rs. 3,94,036 ",BS IV,Petrol,Hatchback,14 km/litre,17 km/litre,24.07 km/litre,750 kg,160 mm,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,68PS@6200rpm,90Nm@3500rpm,2 years /40000 Kms (years/distance whichever comes first),Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",4.6 meter,,Yes,Driver frontal airbag,,Yes,Yes,1,,,Yes,,,,,,
Maruti Suzuki,Alto K10,Lx," Rs. 3,60,843 ",BS IV,Petrol,Hatchback,19 km/litre,24.07 km/litre,24.07 km/litre,740 kg,160 mm,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,68PS@6000rpm,90Nm@3500rpm,2 years /40000 Kms (years/distance whichever comes first),Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",4.6 meter,,Yes,Driver frontal airbag,,Yes,,1,,,,,,,,,
Maruti Suzuki,Alto K10,Vxi (O)," Rs. 4,07,238 ",BS IV,Petrol,Hatchback,14 km/litre,17 km/litre,24.07 km/litre,755 kg,160 mm,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,68PS@6000rpm,90Nm@3500rpm,2 years /40000 Kms (years/distance whichever comes first),Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",4.6 meter,,,Driver frontal airbag,,,,1,,,Yes,,,,,,
Maruti Suzuki,Alto K10,Lxi Cng (O)," Rs. 4,39,777 ",BS IV,CNG,Hatchback,,,,740 kg,160 mm,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,59PS@6000rpm,78Nm@3500rpm,,Yes,,4.6 meter,,,Driver frontal airbag,,,,1,10.0:1,,,,,,,,
Maruti Suzuki,Alto K10,Vxi Amt (O)," Rs. 4,38,559 ",BS IV,Petrol,Hatchback,14 km/litre,17 km/litre,24.07 km/litre,755 kg,160 mm,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,68PS@6000rpm,90Nm@3500rpm,,Yes,,4.6 meter,,,Driver frontal airbag,,,,1,,,Yes,,,,,,
Datsun,Go,D," Rs. 3,74,990 ",BS IV,Petrol,Hatchback,,,20.1 km/litre,864 kg,180 mm,MacPherson Strut with anti-roll bar,H-type Torsion Beam,68PS@5000rpm,104Nm@4000rpm,2 years / Unlimited Kms,Yes,2 Years/Unlimited Kms (Whichever comes earlier),4.6 meter,,Yes,"Driver frontal airbag, Front passenger frontal airbag",,Yes,Yes,2,,Rear sensors,,Yes,,,,,
Datsun,Go,T," Rs. 4,68,229 ",BS IV,Petrol,Hatchback,,,20.1 km/litre,864 kg,180 mm,MacPherson Strut with anti-roll bar,H-type Torsion Beam,68PS@5000rpm,104Nm@4000rpm,2 years / Unlimited Kms,Yes,2 Years/Unlimited Kms (Whichever comes earlier),4.6 meter,,Yes,"Driver frontal airbag, Front passenger frontal airbag",,Yes,Yes,2,,Rear sensors,Yes,Yes,Yes,,,,
Datsun,Go,T (O)," Rs. 5,02,492 ",BS IV,Petrol,Hatchback,20.6 km/litre,,20.1 km/litre,864 kg,180 mm,MacPherson Strut with anti-roll bar,H-type Torsion Beam,68PS@5000rpm,104Nm@4000rpm,2 years / Unlimited Kms,Yes,2 Years/Unlimited Kms (Whichever comes earlier),4.6 meter,,Yes,"Driver frontal airbag, Front passenger frontal airbag",,Yes,,2,,Rear sensors,Yes,Yes,Yes,,,,
Datsun,Go,A (O)," Rs. 4,99,990 ",BS IV,Petrol,Hatchback,20.6 km/litre,,20.1 km/litre,864 kg,180 mm,MacPherson Strut with anti-roll bar,H-type Torsion Beam,68PS@5000rpm,104Nm@4000rpm,2 years / Unlimited Kms,Yes,2 Years/Unlimited Kms (Whichever comes earlier),4.6 meter,,Yes,"Driver frontal airbag, Front passenger frontal airbag",,Yes,Yes,2,,Rear sensors,,Yes,,,,,
Datsun,Go,A," Rs. 4,69,990 ",BS IV,Petrol,Hatchback,20.6 km/litre,,20.1 km/litre,864 kg,180 mm,MacPherson Strut with anti-roll bar,H-type Torsion Beam,68PS@5000rpm,104Nm@4000rpm,2 years / Unlimited Kms,Yes,2 Years/Unlimited Kms (Whichever comes earlier),4.6 meter,,Yes,"Driver frontal airbag, Front passenger frontal airbag",,Yes,Yes,2,,Rear sensors,,Yes,,,,,
Datsun,Go,T Vdc," Rs. 5,28,464 ",BS IV,Petrol,Hatchback,,,20.1 km/litre,864 kg,180 mm,MacPherson Strut with anti-roll bar,H-type Torsion Beam,68PS@5000rpm,104Nm@4000rpm,2 years / Unlimited Kms,Yes,2 Years/Unlimited Kms (Whichever comes earlier),4.6 meter,,Yes,"Driver frontal airbag, Front passenger frontal airbag",,Yes,Yes,2,,Rear sensors,Yes,Yes,Yes,,,,
Datsun,Go,T (O) Vdc," Rs. 5,53,015 ",BS IV,Petrol,Hatchback,20.6 km/litre,,20.1 km/litre,864 kg,180 mm,MacPherson Strut with anti-roll bar,H-type Torsion Beam,68PS@5000rpm,104Nm@4000rpm,2 years / Unlimited Kms,Yes,2 Years/Unlimited Kms (Whichever comes earlier),4.6 meter,,Yes,"Driver frontal airbag, Front passenger frontal airbag",,Yes,,2,,Rear sensors,Yes,Yes,Yes,,,,
Datsun,Go,T Cvt," Rs. 5,94,464 ",BS IV,Petrol,Hatchback,,,20.1 km/litre,864 kg,180 mm,MacPherson Strut with anti-roll bar,H-type Torsion Beam,78PS@5000rpm,104Nm@4000rpm,2 years / Unlimited Kms,Yes,2 Years/Unlimited Kms (Whichever comes earlier),4.6 meter,,Yes,"Driver frontal airbag, Front passenger frontal airbag",,Yes,Yes,2,,Rear sensors,Yes,Yes,Yes,,,,
Datsun,Go,T (O) Cvt," Rs. 6,18,015 ",BS IV,Petrol,Hatchback,20.6 km/litre,,20.1 km/litre,864 kg,180 mm,MacPherson Strut with anti-roll bar,H-type Torsion Beam,78PS@5000rpm,104Nm@4000rpm,2 years / Unlimited Kms,Yes,2 Years/Unlimited Kms (Whichever comes earlier),4.6 meter,,Yes,"Driver frontal airbag, Front passenger frontal airbag",,Yes,,2,,Rear sensors,Yes,Yes,Yes,,,,
Maruti Suzuki,Celerio Tour,H2," Rs. 4,22,444 ",BS IV,Petrol,Hatchback,23 km/litre,,23.1 km/litre,830 kg,165 mm,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,68PS@6000rpm,90Nm@3500rpm,2 years /40000 Kms (years/distance whichever comes first),Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",4.7 meter,,Yes,"Driver frontal airbag, Front passenger frontal airbag",Yes,,,2,,,,,,,,,
Maruti Suzuki,Celerio Tour,H2 Cng," Rs. 4,80,670 ",BS IV,CNG,Hatchback,,,,915 kg,165 mm,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,59bhp@6000rpm,78Nm@3500rpm,2 years /40000 Kms (years/distance whichever comes first),Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",4.7 meter,,,"Driver frontal airbag, Front passenger frontal airbag",Yes,,,2,,,,,,,,,
Hyundai,Santro,Era Mt," Rs. 4,29,990 ",BS IV,Petrol,Hatchback,,,20.3 km/litre,,,,,69PS@5500rpm,99.04nm@4500RPM,,Yes,,,,Yes,Driver frontal airbag,Yes,Yes,Yes,1,,,,,,,,,
Hyundai,Santro,Magna Mt," Rs. 5,03,990 ",BS IV,Petrol,Hatchback,,,20.3 km/litre,,,,,69PS@5500rpm,99.04nm@4500RPM,,Yes,,,,Yes,Driver frontal airbag,Yes,Yes,Yes,1,,,,,,,,,
Hyundai,Santro,Magna Mt Cng," Rs. 5,47,990 ",BS IV,CNG,Hatchback,,,,,,,,59PS@5500RPM,99.04nm@4500RPM,,Yes,,,,Yes,Driver frontal airbag,Yes,Yes,Yes,1,,,,,,,,,
Hyundai,Santro,Magna Amt," Rs. 5,30,990 ",BS IV,Petrol,Hatchback,,,20.3 km/litre,,,Mc Pherson Strut,Coupled Torsion Beam Axle,69PS@5500rpm,10.1kgm@4500RPM,,Yes,,,,Yes,Driver frontal airbag,Yes,Yes,,1,,,Yes,,,,,,
Hyundai,Santro,Sportz Mt," Rs. 5,12,990 ",BS IV,Petrol,Hatchback,,,20.3 km/litre,,,MacPherson Strut,Coupled Torsion Beam Axle,69PS@5500rpm,10.1kgm@4500RPM,,Yes,,,,Yes,Driver frontal airbag,Yes,Yes,Yes,1,,,Yes,,Yes,,,,
Hyundai,Santro,Sportz Mt Cng," Rs. 5,78,990 ",BS IV,CNG,Hatchback,,,,,,McPherson Strut,Coupled Torsion Beam Axle,59PS@5500RPM,8.3KGM@4500rpm,,Yes,,,,Yes,Driver frontal airbag,Yes,Yes,,1,,,Yes,,Yes,,,,
Hyundai,Santro,Sportz Amt," Rs. 5,70,990 ",BS IV,Petrol,Hatchback,,,20.3 km/litre,,,Mc Pherson Struct,Coupled Torsion Beam Axle,69PS@5500rpm,10.1kgm@4500RPM,,Yes,,,,Yes,Driver frontal airbag,Yes,Yes,,1,,,Yes,,Yes,,,,
Hyundai,Santro,Asta Mt," Rs. 5,56,490 ",BS IV,Petrol,Hatchback,,,20.3 km/litre,,,,,69PS@5500rpm,99.04nm@4500RPM,,Yes,,,,Yes,"Front passenger frontal airbag, Driver frontal airbag",Yes,Yes,Yes,2,,Rear sensors with camera,Yes,,Yes,,,,
Tata,Tiago,Revotron Xe," Rs. 4,60,000 ",BS 6,Petrol,Hatchback,,,23 km/litre,935 kg,,"Independent, Lower Wishbone, Mcpherson Strut with coil spring",Semi-Independent; Twist beam with dual path strut,86PS@6000rpm,114NM@3300rpm,"2 Years / 75,000 KM (whichever is earlier)",Yes,"2 years + 1 year (3rd year extended warranty up to 75,000km) or 2 years + 2 years (3rd and 4th year extended warranty up to 1,00,000 kms).",,,Yes,"Driver frontal airbag, Front passenger frontal airbag",,Yes,Yes,2,,Rear sensors,,,,,,,
Tata,Tiago,Revotron Xt," Rs. 5,20,000 ",BS 6,Petrol,Hatchback,23.84 km/litre,23 km/litre,23 km/litre,930 kg,170 mm,"Independent, Lower Wishbone, Mcpherson Strut with coil spring",Semi-Independent; Twist beam with dual path strut,86PS@6000rpm,114NM@3300rpm,"2 Years / 75,000 KM (whichever is earlier)",Yes,"2 years + 1 year (3rd year extended warranty up to 75,000km) or 2 years + 2 years (3rd and 4th year extended warranty up to 1,00,000 kms).",4.9 meter,,Yes,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2,,Front and rear sensors with camera,Yes,,Yes,,,,
Tata,Tiago,Revotron Xz," Rs. 5,70,000 ",BS 6,Petrol,Hatchback,23.84 km/litre,23 km/litre,23 km/litre,930 kg,170 mm,"Independent, Lower Wishbone, Mcpherson Strut with coil spring",Semi-Independent; Twist beam with dual path strut,86PS@6000rpm,114NM@3300rpm,"2 Years / 75,000 KM (whichever is earlier)",Yes,"2 years + 1 year (3rd year extended warranty up to 75,000km) or 2 years + 2 years (3rd and 4th year extended warranty up to 1,00,000 kms).",4.9 meter,,Yes,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2,,Front and rear sensors with camera,Yes,,Yes,,,,
Tata,Tiago,Revotron Xz Plus," Rs. 5,99,000 ",BS 6,Petrol,Hatchback,23.84 km/litre,23 km/litre,23 km/litre,930 kg,170 mm,"Independent, Lower Wishbone, Mcpherson Strut with coil spring",Semi-Independent; Twist beam with dual path strut,86PS@6000rpm,114NM@3300rpm,"2 Years / 75,000 KM (whichever is earlier)",Yes,"2 years + 1 year (3rd year extended warranty up to 75,000km) or 2 years + 2 years (3rd and 4th year extended warranty up to 1,00,000 kms).",4.9 meter,,Yes,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2,,Front and rear sensors with camera,Yes,,Yes,,,,
Tata,Tiago,Revotron Xz Plus Dual Tone," Rs. 6,10,000 ",BS 6,Petrol,Hatchback,23.84 km/litre,23 km/litre,23 km/litre,930 kg,170 mm,"Independent, Lower Wishbone, Mcpherson Strut with coil spring",Semi-Independent; Twist beam with dual path strut,86PS@6000rpm,114NM@3300rpm,"2 Years / 75,000 KM (whichever is earlier)",Yes,"2 years + 1 year (3rd year extended warranty up to 75,000km) or 2 years + 2 years (3rd and 4th year extended warranty up to 1,00,000 kms).",4.9 meter,,Yes,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2,,Front and rear sensors with camera,Yes,,Yes,,,,
Tata,Tiago,Revotron Xza," Rs. 6,20,000 ",BS 6,Petrol,Hatchback,23.84 km/litre,24 km/litre,24 km/litre,930 kg,170 mm,"Independent Lower Wishbone, McPherson Strut with coil Spring",Rear Twist beam with coil spring mounted on hydraulic shock absorbers,86PS@6000rpm,114NM@3300rpm,,Yes,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2,,Rear sensors with camera,Yes,,Yes,,,,
Tata,Tiago,Revotron Xza Plus," Rs. 6,49,000 ",BS 6,Petrol,Hatchback,23.84 km/litre,24 km/litre,24 km/litre,930 kg,170 mm,"Independent Lower Wishbone, McPherson Strut with coil Spring",Rear Twist beam with coil spring mounted on hydraulic shock absorbers,86PS@6000rpm,114NM@3300rpm,,Yes,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2,,Rear sensors with camera,Yes,,Yes,,,,
Tata,Tiago,Revotron Xza Plus Dual Tone," Rs. 6,60,000 ",BS 6,Petrol,Hatchback,23.84 km/litre,24 km/litre,24 km/litre,930 kg,170 mm,"Independent Lower Wishbone, McPherson Strut with coil Spring",Rear Twist beam with coil spring mounted on hydraulic shock absorbers,86PS@6000rpm,114NM@3300rpm,,Yes,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2,,Rear sensors with camera,Yes,,Yes,,,,
Maruti Suzuki,Celerio X,Vxi (O)," Rs. 4,81,074 ",BS IV,Petrol,Hatchback,23 km/litre,22 km/litre,23.1 km/litre,810 kg,165 mm,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,68PS@6000rpm,90Nm@3500rpm,2 years /40000 Kms (years/distance whichever comes first),Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",4.7 meter,,Yes,"Driver frontal airbag, Front passenger frontal airbag",Yes,,,2,,,,,,,,,
